('pmx', 'swap', '0.005', '10', '0.001', 'sigma')
('pmx', 'swap', '0.005', '10', '0.01', 'inverse')
('pmx', 'swap', '0.005', '10', '0.01', 'linear')
('pmx', 'swap', '0.005', '10', '0.01', 'sigma')
('pmx', 'swap', '0.005', '10', '0.1', 'inverse')
('pmx', 'swap', '0.005', '10', '0.1', 'linear')
('pmx', 'swap', '0.005', '10', '0.1', 'sigma')
('pmx', 'swap', '0.01', '-1', '0', 'inverse')
('pmx', 'swap', '0.01', '-1', '0', 'linear')
('pmx', 'swap', '0.01', '-1', '0', 'sigma')
('pmx', 'swap', '0.01', '-1', '0.001', 'inverse')
('pmx', 'swap', '0.01', '-1', '0.001', 'linear')
('pmx', 'swap', '0.01', '-1', '0.001', 'sigma')
('pmx', 'swap', '0.01', '-1', '0.01', 'inverse')
('pmx', 'swap', '0.01', '-1', '0.01', 'linear')
('pmx', 'swap', '0.01', '-1', '0.01', 'sigma')
('pmx', 'swap', '0.01', '-1', '0.1', 'inverse')
('pmx', 'swap', '0.01', '-1', '0.1', 'linear')
('pmx', 'swap', '0.01', '-1', '0.1', 'sigma')
('pmx', 'swap', '0.01', '0', '0', 'inverse')
('pmx', 'swap', '0.01', '0', '0', 'linear')
('pmx', 'swap', '0.01', '0', '0', 'sigma')
('pmx', 'swap', '0.01', '0', '0.001', 'inverse')
('pmx', 'swap', '0.01', '0', '0.001', 'linear')
('pmx', 'swap', '0.01', '0', '0.001', 'sigma')
('pmx', 'swap', '0.01', '0', '0.01', 'inverse')
('pmx', 'swap', '0.01', '0', '0.01', 'linear')
('pmx', 'swap', '0.01', '0', '0.01', 'sigma')
('pmx', 'swap', '0.01', '0', '0.1', 'inverse')
('pmx', 'swap', '0.01', '0', '0.1', 'linear')
('pmx', 'swap', '0.01', '0', '0.1', 'sigma')
('pmx', 'swap', '0.01', '2', '0', 'inverse')
('pmx', 'swap', '0.01', '2', '0', 'linear')
('pmx', 'swap', '0.01', '2', '0', 'sigma')
('pmx', 'swap', '0.01', '2', '0.001', 'inverse')
('pmx', 'swap', '0.01', '2', '0.001', 'linear')
('pmx', 'swap', '0.01', '2', '0.001', 'sigma')
('pmx', 'swap', '0.01', '2', '0.01', 'inverse')
('pmx', 'swap', '0.01', '2', '0.01', 'linear')
('pmx', 'swap', '0.01', '2', '0.01', 'sigma')
('pmx', 'swap', '0.01', '2', '0.1', 'inverse')
('pmx', 'swap', '0.01', '2', '0.1', 'linear')
('pmx', 'swap', '0.01', '2', '0.1', 'sigma')
('pmx', 'swap', '0.01', '5', '0', 'inverse')
('pmx', 'swap', '0.01', '5', '0', 'linear')
('pmx', 'swap', '0.01', '5', '0', 'sigma')
('pmx', 'swap', '0.01', '5', '0.001', 'inverse')
('pmx', 'swap', '0.01', '5', '0.001', 'linear')
('pmx', 'swap', '0.01', '5', '0.001', 'sigma')
('pmx', 'swap', '0.01', '5', '0.01', 'inverse')
('pmx', 'swap', '0.01', '5', '0.01', 'linear')
('pmx', 'swap', '0.01', '5', '0.01', 'sigma')
('pmx', 'swap', '0.01', '5', '0.1', 'inverse')
('pmx', 'swap', '0.01', '5', '0.1', 'linear')
